min   pa    pb
 1    4.1  	 4.2
 2    1.4  	 6.0
 3    1.8  	 6.2
 4    2.0  	 6.7
 5    2.1  	 7.2
 6    2.1  	 7.3
 7    2.1  	 8.0
 8    2.1  	 9.0
 9    2.1  	 9.5
10    2.1  	 9.9
11    2.1  	 9.4
12    2.1  	10.7
13    2.1  	10.0
14    2.1  	10.4
15    2.1  	10.9
16    2.2  	11.0
17    2.2  	11.5
18    2.2  	12.0
19    2.2  	12.1
20    2.2  	12.5
